"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6349","test_logout_user[chromium]","UI_TESTS","2026-08-20","failed","2026-08-20","","test_Logout_User","",""
"","11688","test_Register_User[chromium]","UI_TESTS","2026-08-20","passed","2026-08-20","","test_Register_User","",""
"","4192","test_login_user_with_incorrect_credentials[chromium]","UI_TESTS","2026-08-20","passed","2026-08-20","","test_Login_User_incorrect","",""
"","33578","test_Login_User_Correct[chromium]","UI_TESTS","2026-08-20","broken","2026-08-20","","test_Login_User_correct","",""
